5, 87
6, 85
7, 85
8, 85
9, 85
10, 85
11, 85
12, 84
13, 83
14, 82
15, 82
16, 81
17, 80
18, 78
19, 76
20, 74
21, 74
22, 73
23, 71
24, 70
25, 68
26, 67
27, 66
28, 64
29, 62
30, 61
31, 58
32, 57
33, 55
34, 54
35, 52
36, 50
37, 48
38, 47
39, 44
40, 43
41, 41
42, 40
43, 38
44, 34
45, 32
46, 32
47, 31
48, 29
49, 28
50, 27
51, 26
52, 24
53, 22
54, 21
55, 21
56, 20
57, 19
58, 19
59, 19
60, 18
61, 17
62, 17
63, 17
64, 17
65, 17
66, 17
67, 17
68, 17
69, 17
70, 17
71, 18
72, 19
73, 20
74, 21
75, 21
76, 22
77, 23
78, 24
79, 25
80, 26
81, 27
82, 27
83, 29
84, 31
85, 33
86, 34
87, 35
88, 36
89, 38
90, 39
91, 42
92, 43
93, 45
94, 47
95, 48
96, 50
97, 52
98, 54
99, 55
100, 57
101, 58
102, 61
103, 63
104, 64
105, 66
106, 69
107, 71
108, 72
109, 72
110, 75
111, 77
112, 77
113, 78
114, 79
115, 79
116, 81
117, 82
118, 82
119, 84
120, 84
121, 85
122, 85
123, 86
124, 86
125, 85
