#####    flow0    d000   d020    d050   d100
1  ,      100 ,   00  ,  00000, 00000,  00000
2  ,      99  ,   66  ,  00066, 00056,  00033
3  ,      99  ,   67  ,  00067, 00060,  00032
4  ,      98  ,   67  ,  00068, 00063,  00032
5  ,      96  ,   67  ,  00068, 00061,  00032
6  ,      95  ,   69  ,  00069, 00061,  00033
7  ,      93  ,   70  ,  00070, 00066,  00033
8  ,      90  ,   71  ,  00071, 00063,  00035
9  ,      87  ,   73  ,  00073, 00065,  00036
10 ,      84  ,   76  ,  00075, 00067,  00035
11 ,      81  ,   79  ,  00078, 00069,  00038
12 ,      78  ,   82  ,  00082, 00071,  00039
13 ,      74  ,   85  ,  00085, 00074,  00040
14 ,      70  ,   89  ,  00089, 00079,  00043
15 ,      66  ,   95  ,  00094, 00082,  00045
16 ,      62  ,   100 ,  00098, 00086,  00047
17 ,      58  ,   100 ,  00100, 00095,  00050
18 ,      54  ,   100 ,  00100, 00098,  00055
19 ,      50  ,   100 ,  00100, 00100,  00060
20 ,      47  ,   100 ,  00100, 00100,  00065
21 ,      43  ,   100 ,  00100, 00100,  00069
22 ,      39  ,   100 ,  00100, 00100,  00075
23 ,      36  ,   100 ,  00100, 00100,  00085
24 ,      33  ,   100 ,  00100, 00100,  00093
25 ,      30  ,   100 ,  00100, 00100,  00097
26 ,      27  ,   100 ,  00100, 00100,  00100
27 ,      25  ,   100 ,  00100, 00100,  00100
28 ,      23  ,   100 ,  00100, 00100,  00100
29 ,      22  ,   100 ,  00100, 00100,  00100
30 ,      21  ,   100 ,  00100, 00100,  00100
31 ,      20  ,   100 ,  00100, 00100,  00100
32 ,      20  ,   100 ,  00100, 00100,  00100
33 ,      20  ,   100 ,  00100, 00100,  00100
34 ,      20  ,   100 ,  00100, 00100,  00100
35 ,      21  ,   100 ,  00100, 00100,  00100
36 ,      22  ,   100 ,  00100, 00100,  00100
37 ,      24  ,   100 ,  00099, 00100,  00100
38 ,      26  ,   100 ,  00100, 00100,  00100
39 ,      28  ,   100 ,  00100, 00100,  00100
40 ,      30  ,   100 ,  00100, 00100,  00100
41 ,      33  ,   100 ,  00100, 00100,  00099
42 ,      37  ,   100 ,  00100, 00100,  00094
43 ,      40  ,   99  ,  00100, 00099,  00084
44 ,      43  ,   100 ,  00100, 00100,  00077
45 ,      47  ,   100 ,  00100, 00100,  00071
46 ,      51  ,   100 ,  00100, 00100,  00069
47 ,      55  ,   100 ,  00100, 00100,  00061
48 ,      59  ,   100 ,  00100, 00099,  00058
49 ,      63  ,   100 ,  00100, 00099,  00053
50 ,      67  ,   99  ,  00100, 00099,  00048
51 ,      71  ,   98  ,  00099, 00095,  00046
52 ,      75  ,   93  ,  00096, 00089,  00043
53 ,      78  ,   88  ,  00091, 00084,  00041
54 ,      82  ,   84  ,  00087, 00083,  00039
55 ,      85  ,   80  ,  00083, 00076,  00038
56 ,      88  ,   77  ,  00080, 00074,  00037
57 ,      91  ,   75  ,  00076, 00070,  00034
58 ,      93  ,   72  ,  00074, 00070,  00034
59 ,      95  ,   71  ,  00072, 00066,  00034
60 ,      97  ,   69  ,  00071, 00065,  00034
61 ,      98  ,   68  ,  00069, 00063,  00033
62 ,      99  ,   67  ,  00068, 00062,  00034
63 ,      99  ,   67  ,  00068, 00061,  00033
